questionId;questionTitle;questionDescription;questionType;questionFormat;optionCount;deleted
12;RELIABILITY;Vendor meets agreed terms as evidenced by routine, acceptable service level reporting and industry expectations. Depth and breadth of applications/solutions are acceptable in meeting client needs. Online reliability is maximized and outages/downtimes are minimized. Solid software product and outsourcing service capacities are demonstrated consistently. Service levels are consistently met as agreed. Services and support response is maximized by vendor team.;KPI;0;0;0
13;BRAND IMAGE AND MARKETING COMMUNICATIONS;The vendor's sales and marketing processes accurately and appropriately represent service deliverables. Image is consistent with top service rankings. Sales presentations and proposals delivered upon and corporate integrity/honesty in marketing and business development are highly valued. Company image and integrity are values upheld top-down consistently. Vendor maintains high image and reputation so that customers of products, systems and services openly reference their vendor's representatives as client team members with high level of relevant client communications.;KPI;0;0;0
14;MARGINAL VALUE ADDS;Vendor's cost savings are realized as generally estimated and not over positioned or over/underestimated in ways that effect major client satisfaction or costs. Savings expectations such as decreased service handling and support staff are realized. Buyer's managed service support costs are reduced significantly. Vendor offers value-adds as a cross- industry partner in cost savings management initiatives and creative programs through bundled delivery design. Vendor provides true business transformation opportunities to buyer and opportunities for top line contributions.;KPI;0;0;0
15;VIABILITY AND MANAGERIAL STABILITY;Vendor's viability, employee turnover, financial stability and/or cultural mismatches do not threaten relationship. This vendor takes extraordinary efforts to avoid relationship problems among service providers and the client as well. Senior management and board exemplify strong leadership principals to steward resources appropriate that impact buyers.;KPI;0;0;0
16;DATA SECURITY AND BACKUP SERVICES;In order to provide a secure and constantly dependable service offering for product development entities, a vendor has to provide the highest level of security and data back-up services. In some cases, you may find their service in these two areas superior to the security and back-up system in your own firm/corporation.;KPI;0;0;0
17;SUPPORT AND CUSTOMER CARE;Vendor provides an adequate amount of onsite administration and support to clients. There exists a formal outsourcing relationship and account management program that meets client needs among suppliers for the customer. Vendor evidences successful management strategies or services. Media and clients reference this vendor as a service leader and top producer correctly based on evidenced support programming. Customer services and relationship satisfaction is manifested through significant flagship clients as well as smaller and newest customers similarly. Customer satisfaction is manifested as a vendor priority without compromise.;KPI;0;0;0
18;BEST OF BREED TECHNOLOGY AND PROCESS IMPROVEMENT;Related technology services and product management are considered best in breed. Vendor technology elevates customers via capabilities, equipment, processes, deliverables, professional staff, leadership, quality assurance and innovative initiatives. Technology services are delivered at or above current/former in-house service levels. Quality assurance and process improvement is integrated into all initiatives. Vendor leadership drives continuous services improvements to point of client service.;KPI;0;0;0
19;How likely are you to renew this agreement? ;NULL;Loyalty;0;0;0
20;How likely are you to recommend this vendor to peers? ;NULL;Loyalty;0;0;0
21;Would you buy more products or services from this vendor? ;NULL;Loyalty;0;0;0
